id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
147,Hello My Name Is Little Ingrid,Cloudberry Session IPA.,03/2015,"This beer hits all the high-points of Hello My Name is Ingrid – with one important exception. Brewed at 4.4% abv, Little Ingrid is a session- strength version of our cloudberry- infused celebration of all that is epic about Sweden. The zesty balance of citrus from the four different hops is just as pronounced as in the original.",https://images.punkapi.com/v2/147.png,4.4,35.0,30.0,15.0,4.4,"Extra Pale, Caramalt Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross, Columbus, Centennial, Nelson Sauvin, Bramling Cross, Nelson Sauvin, Bramling Cross, Simcoe Wyeast 1056 - American Ale™","Scones with cloudberry jam, Oysters with a chilli and dill sauce, Rhubarb tart",Sam Mason,"Extra Pale, Caramalt","Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross, Columbus, Centennial, Nelson Sauvin, Bramling Cross, Nelson Sauvin, Bramling Cross, Simcoe",Wyeast 1056 - American Ale™
148,AB:02,Triple Dry Hopped Imperial Red Ale.,05/2010,"The second installation in the Abstrakt Concept beer line up. All the benefits of a malty biscuited red ale, layered with tons of hops. We recommend ageing this beer for 6 months. Try one now, and one for later.",https://images.punkapi.com/v2/148.png,18.0,70.0,57.0,28.5,4.4,"Maris Otter Extra Pale, Caramalt, Crystal 150, Dark Crystal Chinook, Centennial, Chinook, Centennial, Chinook, Centennial, Ahtanum, Chinook, Centennial, Ahtanum Wyeast 1272 - American Ale II™","Strong gorgonzola endive salad, Sirloin steak with fresh salad, Cinnamon poached pears",Sam Mason,"Maris Otter Extra Pale, Caramalt, Crystal 150, Dark Crystal","Chinook, Centennial, Chinook, Centennial, Chinook, Centennial, Ahtanum, Chinook, Centennial, Ahtanum",Wyeast 1272 - American Ale II™
149,AB:03,Barrel-Aged Imperial Ale.,09/2008,"This Abstrakt started life as a simple imperial Ale, but upon the addition of fresh Scottish raspberries and strawberries, and left to mature for 2 years in Invergordon whisky casks that had held whisky for over 40 years, this beer transcended into something new.",https://images.punkapi.com/v2/149.png,10.5,14.0,,,4.4,Extra Pale Magnum Wyeast 1056 - American Ale™,"Haggis spring rolls, Honey glazed duck breast, Cranachan",Sam Mason,Extra Pale,Magnum,Wyeast 1056 - American Ale™
150,AB:13,Cask-Aged Cherry Imperial Stout.,01/2012,"A cherry imperial stout aged in ex- sherry whisky barrels. Based on the classic German Schwarzwald (Black Forest) dessert. Intense dark fruit flavours of cherry, plum, raisin and currant, coupled with deep bitter chocolate, espresso and a full- bodied coffee and cream character.",https://images.punkapi.com/v2/150.png,11.3,50.0,164.0,83.0,4.4,"Extra Pale, Carafa Special Malt Type 2, Flaked Oats Saaz, Saaz Wyeast 1272 - American Ale II™","Pheasant paté, Roast duck in a cherry glaze, Chocolate torte with a dark fruit compote",Sam Mason,"Extra Pale, Carafa Special Malt Type 2, Flaked Oats","Saaz, Saaz",Wyeast 1272 - American Ale II™
151,Rhubarb Saison - B-Sides,Spiced Rhubarb Saison.,10/2015,Spiced peppercorn and rhubarb Saison.,https://images.punkapi.com/v2/keg.png,6.4,25.0,10.0,5.0,5.2,"Extra Pale, Wheat Malt Magnum, Amarillo, Simcoe, Amarillo, Simcoe Wyeast 3711 - French Saison™","Lamb cutlets with cucumber raita, Pigeon pea dal, Set vanilla custard",Sam Mason,"Extra Pale, Wheat Malt","Magnum, Amarillo, Simcoe, Amarillo, Simcoe",Wyeast 3711 - French Saison™
152,Deaf Mermaid - B-Sides,Light Pale Ale.,04/2015,"A keg-only summer special, hop- bursted and dry-hopped to infinity.",https://images.punkapi.com/v2/keg.png,5.2,65.0,16.0,8.0,5.2,"Pale Ale Chinook, Amarillo, Chinook, Mosaic, Amarillo, Chinook, Mosaic Wyeast 1056 - American Ale™","Grilled fish tacos, Greek salad, Goat's cheese",Sam Mason,Pale Ale,"Chinook, Amarillo, Chinook, Mosaic, Amarillo, Chinook, Mosaic",Wyeast 1056 - American Ale™
153,Hoppy Saison - B-Sides,Hop Yeast Synergy.,03/2015,Hoppy citrus and tropical fruit Saison.,https://images.punkapi.com/v2/keg.png,6.4,40.0,8.0,4.0,5.2,"Extra Pale, Wheat Malt, Rye, Acidulated Malt Citra, Amarillo, Citra, Amarillo, Citra, Sorachi Ace, Mosaic Wyeast 3724 - Belgian Saison™","Pad Thai, Paella, Smoked dry-cured venison sausage",Sam Mason,"Extra Pale, Wheat Malt, Rye, Acidulated Malt","Citra, Amarillo, Citra, Amarillo, Citra, Sorachi Ace, Mosaic",Wyeast 3724 - Belgian Saison™
154,No Label,Dry Hopped Kölsch.,10/2015,"No Label is a postmodern, postgender non-binary brew; the world’s first beer made with transgender hops. Brewed with whole hop bines that have spontaneously changed from female to male, no label goes its own way. No Label balances a light, biscuity dryness from the malt base with delicate hints of fruity esters gifted by the fermentation. Finally, dry- hopping adds a layer of new world tropical & pine flavours that add a unique twist to this classic Kölsch style beer. All profits from the sales of this beer were donated to LGBTQI+ events organisers Queerest of the Queer.",https://images.punkapi.com/v2/154.png,4.5,25.0,10.0,5.0,4.2,"Pilsner, Wheat, Munich Mosaic, Cascade, Jester, Cascade, Mosaic Wyeast 1056 - American Ale™","Strawberry and basil salad with feta, Lemon baked monkfish, Peach cobbler",Sam Mason,"Pilsner, Wheat, Munich","Mosaic, Cascade, Jester, Cascade, Mosaic",Wyeast 1056 - American Ale™
155,Old World Russian Imperial Stout,Russian Imperial Stout.,10/2011,"This Old World Stout perfectly recreates the export stouts of years gone by; brewed to imperial strength to avoid freezing during its journey across the Baltic Sea to snowy Moscow. Full bodied with huge chocolate, coffee and roast flavours, this imperial stout employs a variety of hops to add enough bitterness and hop complexity to balance the huge malt sweetness and rich mocha and molasses flavours.",https://images.punkapi.com/v2/155.png,9.5,80.0,195.0,97.5,4.5,"Extra Pale, Dark Crystal 350, Carafa Special Malt Type 3, Caramalt, Chocolate Magnum, Galena, Hercules, Magnum, Galena, Cascade, Galena Wyeast 1272 - American Ale II™","Seared steak with a peppercorn sauce, Strong blue cheese and oatcakes, Chocolate cheesecake",Sam Mason,"Extra Pale, Dark Crystal 350, Carafa Special Malt Type 3, Caramalt, Chocolate","Magnum, Galena, Hercules, Magnum, Galena, Cascade, Galena",Wyeast 1272 - American Ale II™
156,Hoppy Christmas,Simcoe Single-Hop India Pale Ale.,10/2012,"Pineapple, citrus and papaya; single-hopped with Simcoe, Hoppy Christmas is an anti-festive IPA, redolent with summery flavours. Small caramel malt additions provide a touch of malt complexity. Simcoe, arguably our favourite hop, carries this beer - pine, tropical fruit and bitterness are its specialities.",https://images.punkapi.com/v2/156.png,7.2,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal Simcoe, Simcoe, Simcoe, Simcoe Wyeast 1056 - American Ale™","Spiced cranberry turkey, Sriracha covered brussel sprouts, Ginger rice pudding",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Simcoe, Simcoe, Simcoe, Simcoe",Wyeast 1056 - American Ale™
157,Edge,Dark Full-Bodied Cask Ale,12/2007,"Low ABV, high flavour, this beer was brewed to show that a beer can have all the flavour without the drunken affects. Also this beer is one of BrewDog's original brews that made a rare appearance in cask. Spicy, malty biscuit and super drinkable.",https://images.punkapi.com/v2/cask.png,2.7,36.0,57.0,29.0,4.4,"Extra Pale, Wheat, Crystal, Roasted Barley, CaraAroma Pacific Hallertau, Pacific Hallertau, Motueka, Pacific Hallertau, Motueka, Amarillo Wyeast 1056 - American Ale™","Lamb and root vegetable stew, Warm goats cheese salad, Raisin rum cake",Sam Mason,"Extra Pale, Wheat, Crystal, Roasted Barley, CaraAroma","Pacific Hallertau, Pacific Hallertau, Motueka, Pacific Hallertau, Motueka, Amarillo",Wyeast 1056 - American Ale™
158,Hello My Name Is Zé (w/ 2Cabeças),Passionfruit IPA - 2Cabecas Collab.,03/2014,"Punk multiplied by Jack Hammer, divided by passionfruit with some Brazilian spirit factored in too. A well-rounded IPA, with bags of tropical flavour boosted by the addition of passionfruit, which unsurprisingly dominates the aroma of this summery IPA.",https://images.punkapi.com/v2/158.png,6.4,50.0,20.0,10.0,4.4,"Extra Pale, Caramalt Vic Secret, Centennial, Centennial, Kohatu, Vic Secret, Citra, Simcoe, Centennial, Amarillo Wyeast 1056 - American Ale™","Grilled lamb chops with a fruit reduction, Ginger and chilli beef stir fry, Passionfruit soufflé",Sam Mason,"Extra Pale, Caramalt","Vic Secret, Centennial, Centennial, Kohatu, Vic Secret, Citra, Simcoe, Centennial, Amarillo",Wyeast 1056 - American Ale™
159,Black Tokyo Horizon (w/Nøgne Ø & Mikkeller),Imperial Stout Collaboration.,12/2010,"Special Collaboration between Nøgne, Mikkeller and BrewDog which is a recipe based on all three brewers’ big stouts; Nøgne Ø Dark Horizon, Mikkeller Black and BrewDog Tokyo*.",https://images.punkapi.com/v2/159.png,17.2,75.0,128.0,64.0,4.4,"Extra Pale, Carafa Special Malt Type 1, Flaked Oats, Smoked Malt, Crystal 150 Columbus, Columbus, First Gold, Motueka, Hersbrucker, First Gold, Motueka, Hersbrucker Wyeast 1272 - American Ale II™","Truffle oil filet mignon, Sweet sticky beef brisket, Chocolate and dark cherry fondant",Sam Mason,"Extra Pale, Carafa Special Malt Type 1, Flaked Oats, Smoked Malt, Crystal 150","Columbus, Columbus, First Gold, Motueka, Hersbrucker, First Gold, Motueka, Hersbrucker",Wyeast 1272 - American Ale II™
160,Restorative Beverage For Invalids And Convalescents,"An Extract Taken From ""A Treatise on Food and Diet"" By Dr Jonathan Pereira, 1843.",02/2015,"Brewed to 8.5%, light as a mass market Pilsner in colour, fermented to be as dry as a Lambic, but as bitter as any double IPA and loaded with as much hop aroma as we can get into a beer. The fermentables in this beer were Maris Otter Extra Pale along with plenty of sugar as we mashed at a very low temperature to ensure maximum fermentability and attenuation. This beer is fermented within an inch of its life making it dry, sheer and bright. Citra, Amarillo & Centennial were all used in abundance in the kettle and also fired extremely liberally at this beer with our high tech hop cannon.",https://images.punkapi.com/v2/160.png,8.5,100.0,15.0,7.5,4.4,"Maris Otter Extra Pale, White Cane Sugar C02 Extract, Citra, Amarillo, Centennial, Citra, Amarillo, Centennial Wyeast 1272 - American Ale II™","Habanero spicy chicken wings with ranch sauce, Jalapeño chilli and chicken quesadillas, New York style cheesecake",Sam Mason,"Maris Otter Extra Pale, White Cane Sugar","C02 Extract, Citra, Amarillo, Centennial, Citra, Amarillo, Centennial",Wyeast 1272 - American Ale II™
161,Tokyo Rising Sun - Highland,A Beautiful Accident.,06/2009,"A forgotten gem in the deepest, darkest corner of the warehouse. Aged in a Highland whisky cask resulting in a viscous slow motion roller coaster of powdered cacao, hints of burning pirate ships, salted caramel, sharp berries and toasted marshmallow.",https://images.punkapi.com/v2/161.png,13.2,85.0,140.0,71.0,4.4,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley Chinook, Galena, Chinook, Galena, Galena, First Gold, Chinook WLP099 - Super High Gravity Ale","Chorizo cooked in red wine, Rib eye steak with a compound butter, Baked Alaska",Sam Mason,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley","Chinook, Galena, Chinook, Galena, Galena, First Gold, Chinook",WLP099 - Super High Gravity Ale
162,77 Lager,Artisan Rebel Pilsner.,12/2008,"Think of everything you know about lagers. Then forget it all instantly. 77 will redefine the experience forever. A Lager that actually tastes of something? You have to be kidding, right? 77 lager is made with 100% malt and whole leaf hops. It contains no preservatives, additives, cheap substitutes or any other junk. Maybe we are crazy. So what? Taste 77 Lager and we are pretty sure you will agree that the fine line between genius and insanity has just become a little more blurred.",https://images.punkapi.com/v2/162.png,4.9,30.0,12.0,6.0,4.4,"Extra Pale, Caramalt, Munich Hallertauer Mittelfrüh, Hallertauer Mittelfrüh, Tettnang, Saaz Wyeast 2007 - Pilsen Lager™","Aromatic spicy red thai curry, Sticky spicy barbecue ribs with a strong blue cheese dipping sauce, Creamy warm baked goats cheese salad",Mike Francis,"Extra Pale, Caramalt, Munich","Hallertauer Mittelfrüh, Hallertauer Mittelfrüh, Tettnang, Saaz",Wyeast 2007 - Pilsen Lager™
163,This. Is. Lager,21st Century Pilsner. Sharp. Robust. Honest.,08/2014,"Brewed with 100% malt, ten times the hops of most industrial lagers and cold-conditioned for five weeks, this spicy, robust Pilsner is lager reborn. Expect a robust, full-bodied malt character on the front of the tongue, spicy citrus notes as it goes back through the palate and an assertive bitter finish with a lemon and pepper character to round things off.",https://images.punkapi.com/v2/163.png,4.7,37.0,10.0,6.0,4.2,"Pilsner Columbus, Hersbrucker, Saaz Wyeast 2007 - Pilsen Lager™","Mexican ceviche, Blue cheese crumbled over wedges, Gooey lemon bar",Sam Mason,Pilsner,"Columbus, Hersbrucker, Saaz",Wyeast 2007 - Pilsen Lager™
164,Ella - IPA Is Dead,Single Hop India Pale Ale.,03/2015,"2015 IPA is Dead Series. Supremely floral, this hugely under-rated hop is related to Galaxy and was first cultivated in the Australian state of Victoria. Initially given the same name as a certain Eurolager, their lawyers got involved and the St- prefix was dropped. Ella displays subtle notes of spice, but is fundamentally a truly floral bouquet, redolent of the Southern Hemisphere.",https://images.punkapi.com/v2/164.png,7.2,100.0,12.0,6.0,4.4,"Extra Pale Ella, Ella, Ella Wyeast 1056 - American Ale™","Cheddar cheese toastie on dark rye, Lamb samosas with chilli dipping sauce, Cheesecake",Sam Mason,Extra Pale,"Ella, Ella, Ella",Wyeast 1056 - American Ale™
165,Barley Wine - Russian Doll,Double India Pale Ale.,06/2014,"Russian Doll was an experimental set of brews showcasing the effects of varying the amount and ratio of malts in the grist. The barley wine had rich, chewy dark fruit aromas balanced with a spike of zesty hops. Toffee, apricot jam and grapefruit pith, crammed into the head of our little Russian Doll family.",https://images.punkapi.com/v2/165.png,10.0,80.0,65.0,32.5,4.4,"Extra Pale, Caramalt, Dark Crystal Centennial, Centennial, Simcoe, Simcoe, Citra, Simcoe, Citra, Centennial Wyeast 1272 - American Ale II™","Stilton tart, Caramelised onion and ham foccacia, Dark fruit crumble",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Centennial, Centennial, Simcoe, Simcoe, Citra, Simcoe, Citra, Centennial",Wyeast 1272 - American Ale II™
166,Vagabond Pale ALe - Prototype Challenge,Gluten Free Beer. Toffee. Piney. Fruitcake.,11/2014,"A foundation of caramel malt is buttressed by a raucously resinous bitterness, as the rioting backdrop of citrus and tropical fruit flow in waves from those twin titans of the US – Centennial and Amarillo. And it also happens to be gluten free.",https://images.punkapi.com/v2/166.png,4.5,55.0,20.0,10.0,4.2,"Pale Ale, Caramalt, Crystal 150 Centennial, Amarillo, Centennial, Amarillo, Amarillo, Centennial, Amarillo Wyeast 1056 - American Ale™","Chinese chicken salad, Lemon grilled halibut, Apple crumble",Sam Mason,"Pale Ale, Caramalt, Crystal 150","Centennial, Amarillo, Centennial, Amarillo, Amarillo, Centennial, Amarillo",Wyeast 1056 - American Ale™
167,Libertine Black Ale,The New Black. Roasty. Hoppy. Fruity.,03/2012,"A dark hop bomb combining the malt-forward indulgences of a stout with the insatiable hopload of an IPA. Rich spiced blackcurrant and caramel up front, with a sharp bitter finish following behind, bringing grapefruit and resin with it. Dry, bitter and intense; this is an IPA first and foremost, given a dark malt makeover. Originally brewed as a Simcoe only single hop IPA, we've experimented with adding a little Cascade and Mosaic for extra depth.",https://images.punkapi.com/v2/167.png,7.2,50.0,150.0,76.0,4.4,"Extra Pale, Caramalt, Crystal 150, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Simcoe, Simcoe, Simcoe, Simcoe, Cascade, Mosaic Wyeast 1272 - American Ale II™","Grilled king prawns with a chilli lime sauce, Blue cheese burger, Flourless chocolate ginger cake",Sam Mason,"Extra Pale, Caramalt, Crystal 150, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Simcoe, Simcoe, Simcoe, Simcoe, Cascade, Mosaic",Wyeast 1272 - American Ale II™
168,Jack Hammer,Ruthless India Pale Ale. Hoppy. Bitter. Hoppy.,06/2012,"Hopped beyond the point at which IBUs are measurable, only the most hardened palate will get beyond Jack Hammer's intensely resinous pithy bitterness and to the grapefruit, orange zest and dry biscuity malt beyond. You could brew this with less hops, but really, why would you bother?",https://images.punkapi.com/v2/168.png,7.2,250.0,15.0,7.5,4.4,"Extra Pale Centennial, Columbus Extract, Centennial, Columbus, Centennial, Columbus, Amarillo, Citra, Simcoe Wyeast 1272 - American Ale II™","Phall Curry, Pork burrito with a habanero and mango chilli salsa, Ginger and grapefruit poundcake",Sam Mason,Extra Pale,"Centennial, Columbus Extract, Centennial, Columbus, Centennial, Columbus, Amarillo, Citra, Simcoe",Wyeast 1272 - American Ale II™
169,AB:19,A Blend of Two Barrel-aged Imperial Saisons.,06/2012,"One of the most complex beers we’ve ever attempted. A blend of two barrel-aged Imperial Saisons – one black, one red – which has in turn then been aged in rum barrels, it is an enormous, intricate beer. A baseline of warm, smoky raisin and plum, followed by punchy flavour elements coming to the fore – coconut, mint and blackcurrant. There’s a long undercurrent of treacle toffee, before the finish darkens to liquorice, star anise amidst a touch of honey sweetness.",https://images.punkapi.com/v2/169.png,13.1,,,,,,"Game terrine, Spiced fruit cake, Chocolate, cherry and hazelnut mousse",Sam Mason,,,
170,Bashah (w/ Stone Brewing Co),Black Belgian Double IPA.,08/2009,"Brewed when our good friends from Stone visited in 2009. Black As Sin, Hoppy As Hell - no other beer name has quite hit the nail so squarely on the head. Dark roasted malt makes a beautiful canvas for the savage hop bitterness, pine needles and orange zest.",https://images.punkapi.com/v2/170.png,9.7,100.0,30.0,15.3,4.4,"Extra Pale, Chocolate, Carafa Special Malt Type 3 Hercules, Magnum, Magnum, Hercules, Centennial, Amarillo Wyeast 3522 - Belgian Ardennes™","Chocolate crème brûlée with raspberries, Thyme, rosemary and black pepper rubbed roast beef served with fried green beans, Angus beef cheeseburger",Sam Mason,"Extra Pale, Chocolate, Carafa Special Malt Type 3","Hercules, Magnum, Magnum, Hercules, Centennial, Amarillo",Wyeast 3522 - Belgian Ardennes™
171,Challenger,Single Hop India Pale Ale – 2012.,02/2012,"Challenger is known for its herbal and fruity characteristics. When used alone in a beer like IPA is Dead, Challenger brings light woodsy notes, floral hints, and delicate green tea, alongside more recognisable citrus notes. As a dual-purpose hop, it also yields great bittering potential, which is ideal in a dry bitter IPA.",https://images.punkapi.com/v2/171.png,6.7,67.0,19.0,9.5,4.4,"Extra Pale - Spring Blend, Caramalt, Crystal 150 Challenger, Challenger, Challenger Wyeast 1056 - American Ale™","Caramelized onion and steak pie, Chicken Khua Kling (dry Thai curry), Lemon drizzle cake",Sam Mason,"Extra Pale - Spring Blend, Caramalt, Crystal 150","Challenger, Challenger, Challenger",Wyeast 1056 - American Ale™
172,Single Hop Enigma IPA - B-Sides,Enigma Hopped IPA.,01/2016,"A cheeky play with a new hop on the pilot kit. Expect notes of redcurrant, melon and citrus. An intriguing possibility for the future.",https://images.punkapi.com/v2/keg.png,5.0,50.0,10.0,5.0,4.4,"Propino Pale Malt Enigma, Enigma, Enigma Wyeast 1056 - American Ale™ & Wyeast 1272 - American Ale II™","Jalapeño poppers with blue cheese dip, T-bone steak with fried onions, Carrot cake with cream cheese frosting",Sam Mason,Propino Pale Malt,"Enigma, Enigma, Enigma",Wyeast 1056 - American Ale™ & Wyeast 1272 - American Ale II™
173,Chinook - IPA Is Dead,Single Hop India Pale Ale.,03/2015,"2015 IPA is Dead series. Often used as a combination hop for American Pale Ales and IPAs, Chinook can really shine when left to front a beer all on its own. The main reason for this is that it’s thunderously piney, with a fistful of spice kicked up in your face as you lie on the beach. A true heavyweight of the brewing industry.",https://images.punkapi.com/v2/173.png,7.2,100.0,12.0,6.0,4.4,"Extra Pale Chinook, Chinook, Chinook Wyeast 1056 - American Ale™","Chicken fajita spiced monteray jack quesadillas, Chilli lime and coriander marinated king prawn cocktail, Margarita key lime pie",Sam Mason,Extra Pale,"Chinook, Chinook, Chinook",Wyeast 1056 - American Ale™
174,Konnichiwa Kitsune,Hello My Name Is Yuzu.,10/2014,"Named in a slight deviation from our Hello My Name Is series, Konnichiwa Kitsune is a Japanese- inspired, yuzu-infused Imperial IPA, brewed with Amarillo, Cascade and Citra. These punchy new world hops bring orange, grapefruit and lime to back up the yuzu aroma and flavour. Big mandarin notes, balanced against a caramel malt biscuity base.",https://images.punkapi.com/v2/174.png,4.4,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt Amarillo, Citra, Cascade, Amarillo, Citra, Cascade, Amarillo, Citra, Cascade, Citra, Amarillo, Cascade Wyeast 1272 - American Ale II™","Fresh seared tuna and rocket salad, Lemon meringue pie, Baked chicken with yuzu reduction",Sam Mason,"Extra Pale, Caramalt","Amarillo, Citra, Cascade, Amarillo, Citra, Cascade, Amarillo, Citra, Cascade, Citra, Amarillo, Cascade",Wyeast 1272 - American Ale II™
175,San Diego Scotch Ale (w/Ballast Point),Imperial Scotch Ale With Rum & Raisin.,07/2012,"Whisky cask aged with raisins soaked in rum. Warm, chocolatey and boozy with refreshing resinous bitterness and a lingering toasty biscuit background from the malt. Toasted oak comes courtesy of the barrels and spicy, sweet, dark fruit flavours from the rum soaked raisins.",https://images.punkapi.com/v2/175.png,9.0,70.0,190.0,95.0,4.4,"Pale Ale - Tipple, Munich, Crystal, Dark Crystal, Carafa Special Malt Type 1 First Gold, Challenger, Amarillo Wyeast 1272 - American Ale II™","Venison stroganoff, Chilli dog, Toffee chocolate cheesecake",Sam Mason,"Pale Ale - Tipple, Munich, Crystal, Dark Crystal, Carafa Special Malt Type 1","First Gold, Challenger, Amarillo",Wyeast 1272 - American Ale II™
176,Old World India Pale Ale,English India Pale Ale.,10/2011,"This recreated the epic IPAs that were sent on monumental ocean voyages from England to India by sea in the 1800s. Medium bodied with a complex malt profile, backed up with intense bitterness and a woodsy, earthy rich English hop character.",https://images.punkapi.com/v2/176.png,7.5,80.0,50.0,25.0,4.4,"Maris Otter Extra Pale, Amber, Crystal 150 Bramling Cross, First Gold, Bramling Cross Wyeast 1272 - American Ale II™","Honey glazed ham with spicy roasted carrots, Mature cheddar with spicy chutney, Peach cobbler",Sam Mason,"Maris Otter Extra Pale, Amber, Crystal 150","Bramling Cross, First Gold, Bramling Cross",Wyeast 1272 - American Ale II™
177,Dog D,Anniversary Imperial Stout.,05/2015,"Dog D is an extra special brew, marking 8 years of BrewDog. Like Dog A, B & C before it, Dog D is an Imperial Stout with speciality ingredients, only this time we’ve barrel-aged it too. Dog D pours like dark matter into your glass, with a deep tan head. The nose is subtle but powerful, and on the palate, there’s a treacle toffee backbone, supporting the spicy hop flavour and naga chilli heat.",https://images.punkapi.com/v2/177.png,16.1,85.0,400.0,200.0,4.3,"Pale Ale, Wheat, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Rye, Brown Chinook, Fuggles, Fuggles, Willamette, Ginger Powder, Honey, Cold Infused Coffee Wyeast 1272 - American Ale II™","Sriracha infused shredded beef, Chipotle steak tacos, Chilli chocolate fondant",Joakim Skoog,"Pale Ale, Wheat, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Rye, Brown","Chinook, Fuggles, Fuggles, Willamette, Ginger Powder, Honey, Cold Infused Coffee",Wyeast 1272 - American Ale II™
178,Simcoe,Single Hop India Pale Ale.,01/2012,"A special release of our IPA is Dead series - IPA is Dead Simoce. Hopped to hell with citrusy bitter and aroma hops from the West Coast of the USA. Bitter, orange, mandarin, floral, this IPA showcases the best the west has to offer.",https://images.punkapi.com/v2/178.png,6.7,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Simcoe, Simcoe, Simcoe, Simcoe Wyeast 1056 - American Ale™","Beer roasted chicken, Ham and pineapple pizza, Chocolate cake drizzled with orange",Sam Mason,"Extra Pale, Caramalt, Dark Crystal, Munich","Simcoe, Simcoe, Simcoe, Simcoe",Wyeast 1056 - American Ale™
179,How To Disappear Completely,Fake Fix Double IPA.,04/2009,"Jam-packed with two of our favourite hops - Columbus and Centennial, it has 198 (yes one hundred and ninety eight) theoretical IBUs. We use a lot of caramalt, some amber malt and some chocolate malt to give the little beer as much body and mouthfeel as possible and the ability to handle all the hops we threw at it. We think this beer is the world’s first ever Imperial Mild. Imperial in terms of hop profile. An Imperially Hopped Mild. BrewDog’s Imperial Mild. How to Disappear Completely.",https://images.punkapi.com/v2/179.png,3.5,198.0,37.0,19.0,4.4,"Extra Pale, Wheat Malt, Munich, Caramalt, Pale Crystal 60, Dark Crystal 350, Amber, Chocolate Centennial, Centennial, Centennial, Columbus, Centennial, Columbus, Centennial, Columbus, Galena, Simcoe Wyeast 3522 - Belgian Ardennes™","Spicy pork sausages with red potato mash, Turnip beef stew with crusty fresh baked bread, Summer berry cheesecake",Sam Mason,"Extra Pale, Wheat Malt, Munich, Caramalt, Pale Crystal 60, Dark Crystal 350, Amber, Chocolate","Centennial, Centennial, Centennial, Columbus, Centennial, Columbus, Centennial, Columbus, Galena, Simcoe",Wyeast 3522 - Belgian Ardennes™
180,Doodlebug,Hoppy Sub-Session Pale Ale.,09/2015,"Doodlebug is our fusion of low strength and enormously high tropical hop levels – think a mashup of Hop Fiction and How to Disappear Completely, and you’re almost there. Clocking in at 2.8% ABV, Doodlebug is keg-only and is packed with Amarillo, Chinook and Mosaic; letting fly a hoppy buzzbomb at sub-session-strength.",https://images.punkapi.com/v2/keg.png,2.5,35.0,10.0,5.0,4.2,"Pilsner, Wheat, Flaked Oats Chinook, Amarillo, Chinook, Mosaic, Amarillo, Chinook, Mosaic Wyeast 1056 - American Ale™","Lightly curried spiced chickpea dip, Fried calamari with a mild sauce, Lemon sherbet cookies",Lars Gregori,"Pilsner, Wheat, Flaked Oats","Chinook, Amarillo, Chinook, Mosaic, Amarillo, Chinook, Mosaic",Wyeast 1056 - American Ale™
181,Vic Secret,Single Hop India Pale Ale.,10/2013,"Piney, citrusy and resinous with herbal notes, Vic Secret is dual-purpose (flavour & bitterness) perfect for brewing up a single hop IPA.",https://images.punkapi.com/v2/keg.png,7.4,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal Vic Secret, Vic Secret, Vic Secret, Vic Secret Wyeast 1056 - American Ale™","Roasted duck, Gorgonzola and rye nut bread with smoked honey ham, Raspberry coffee cheesecake",Ali Skinner,"Extra Pale, Caramalt, Dark Crystal","Vic Secret, Vic Secret, Vic Secret, Vic Secret",Wyeast 1056 - American Ale™
182,All Day Long - Prototype Challenge,Malty Low ABV Ale.,11/2014,"Prototype Challenge 2014. All Day Long is a mild like no other. This complex, low-alcohol brew was the third of our 2014 Prototypes. Featuring a boatload of seven different speciality malts and some of our favourite hops, this beer is resinous at first, transitioning into something akin to bitter orange marmalade spread onto a thick bread crust. This is for everyone who said BrewDog would never brew a mild...",https://images.punkapi.com/v2/182.png,2.8,30.0,42.0,21.0,4.4,"Caramalt Columbus, Cascade, Centennial, Columbus, Ahtanum, Centennial, Cascade, Amarillo Wyeast 1056 - American Ale™","Chunky orange marmalade on toast, Prawn toast with sweet chilli sauce, Lemon tart",Sam Mason,Caramalt,"Columbus, Cascade, Centennial, Columbus, Ahtanum, Centennial, Cascade, Amarillo",Wyeast 1056 - American Ale™
